sub_num,condition_timing,condition_stim,stim_id,cat,resp,rt,age,gender,date,prob_num,prob_num_grating,prob_num_binary,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim,x,y,xc
2,delay,binary,50,2,2,1.019963026046753,,Prefer not to specify,2019-12-06,5,2,2,5,4,4,107,4,-1,-1,56.710258164073515
2,delay,binary,2,2,2,0.7262709140777588,,Prefer not to specify,2019-12-06,5,2,2,5,5,5,108,4,-1,-1,56.710258164073515
2,delay,binary,28,1,1,2.8436341285705566,,Prefer not to specify,2019-12-06,5,2,2,5,6,6,109,4,-1,-1,56.710258164073515
2,delay,binary,56,2,1,2.058065891265869,,Prefer not to specify,2019-12-06,5,2,2,5,7,7,110,4,-1,-1,56.710258164073515
2,delay,binary,41,2,1,0.8978710174560547,,Prefer not to specify,2019-12-06,5,2,2,5,8,8,111,4,-1,-1,56.710258164073515
2,delay,binary,51,2,2,0.5730609893798828,,Prefer not to specify,2019-12-06,5,2,2,5,9,9,112,4,-1,-1,56.710258164073515
2,delay,binary,20,1,1,0.3563570976257324,,Prefer not to specify,2019-12-06,5,2,2,5,10,10,113,4,-1,-1,56.710258164073515
2,delay,binary,15,1,1,1.3173308372497559,,Prefer not to specify,2019-12-06,5,2,2,5,11,11,114,4,-1,-1,56.710258164073515
2,delay,binary,60,1,1,0.8301072120666504,,Prefer not to specify,2019-12-06,5,2,2,5,12,12,115,4,-1,-1,56.710258164073515
2,delay,binary,58,2,2,0.6656501293182373,,Prefer not to specify,2019-12-06,5,2,2,5,13,13,116,4,-1,-1,56.710258164073515
2,delay,binary,3,2,2,1.0005600452423096,,Prefer not to specify,2019-12-06,5,2,2,5,14,14,117,4,-1,-1,56.710258164073515
2,delay,binary,6,1,1,0.7073080539703369,,Prefer not to specify,2019-12-06,5,2,2,5,15,15,118,4,-1,-1,56.710258164073515
2,delay,binary,11,2,2,1.6819648742675781,,Prefer not to specify,2019-12-06,5,2,2,5,16,16,119,4,-1,-1,56.710258164073515
2,delay,binary,16,2,2,0.6915650367736816,,Prefer not to specify,2019-12-06,5,2,2,5,17,17,120,4,-1,-1,56.710258164073515
2,long_iti,grating,62,2,2,0.9440500736236572,,Prefer not to specify,2019-12-06,6,3,3,6,0,0,121,4,94.0376874232795,88.0,95.6869279861945
2,long_iti,grating,20,1,2,1.0025129318237305,,Prefer not to specify,2019-12-06,6,3,3,6,1,1,122,4,97.22441213226014,88.0,95.6869279861945
2,long_iti,grating,58,1,1,1.965804100036621,,Prefer not to specify,2019-12-06,6,3,3,6,2,2,123,4,97.25725289476088,88.0,95.6869279861945
2,long_iti,grating,49,1,1,1.064561128616333,,Prefer not to specify,2019-12-06,6,3,3,6,3,3,124,4,96.3519978163667,88.0,95.6869279861945
2,long_iti,grating,52,1,1,0.8576040267944336,,Prefer not to specify,2019-12-06,6,3,3,6,4,4,125,4,96.90741698512575,88.0,95.6869279861945
2,long_iti,grating,36,2,1,0.6590228080749512,,Prefer not to specify,2019-12-06,6,3,3,6,5,5,126,4,89.96698676867278,88.0,95.6869279861945
2,long_iti,grating,1,1,1,0.6348929405212402,,Prefer not to specify,2019-12-06,6,3,3,6,6,6,127,4,96.02687499194438,88.0,95.6869279861945
2,long_iti,grating,56,2,2,1.010660171508789,,Prefer not to specify,2019-12-06,6,3,3,6,7,7,128,4,88.45630605508933,88.0,95.6869279861945
2,long_iti,grating,40,2,1,1.254906177520752,,Prefer not to specify,2019-12-06,6,3,3,6,8,8,129,4,89.20812076520534,88.0,95.6869279861945
2,long_iti,grating,16,2,1,1.25807785987854,,Prefer not to specify,2019-12-06,6,3,3,6,9,9,130,4,83.51878138739814,88.0,95.6869279861945
2,long_iti,grating,24,2,1,0.6999781131744385,,Prefer not to specify,2019-12-06,6,3,3,6,10,10,131,4,90.91366199208004,88.0,95.6869279861945
2,long_iti,grating,46,1,2,0.6876461505889893,,Prefer not to specify,2019-12-06,6,3,3,6,11,11,132,4,96.66277672766346,88.0,95.6869279861945
2,long_iti,grating,7,1,1,0.6720700263977051,,Prefer not to specify,2019-12-06,6,3,3,6,12,12,133,4,96.33224156909854,88.0,95.6869279861945
2,long_iti,grating,50,2,2,0.8522000312805176,,Prefer not to specify,2019-12-06,6,3,3,6,13,13,134,4,80.4968048195565,88.0,95.6869279861945
2,long_iti,grating,43,2,2,0.8658931255340576,,Prefer not to specify,2019-12-06,6,3,3,6,14,14,135,4,81.02527338178025,88.0,95.6869279861945
2,long_iti,grating,45,2,2,0.7547180652618408,,Prefer not to specify,2019-12-06,6,3,3,6,15,15,136,4,81.57371141467628,88.0,95.6869279861945
2,long_iti,grating,11,2,1,2.2531180381774902,,Prefer not to specify,2019-12-06,6,3,3,6,16,16,137,4,83.03329290026264,88.0,95.6869279861945
2,long_iti,grating,29,1,1,0.5420701503753662,,Prefer not to specify,2019-12-06,6,3,3,6,17,17,138,4,96.68661077476489,88.0,95.6869279861945
2,long_iti,grating,34,1,1,0.9445469379425049,,Prefer not to specify,2019-12-06,6,3,3,6,18,18,139,4,96.89752043950865,88.0,95.6869279861945
2,long_iti,grating,2,1,1,0.6973059177398682,,Prefer not to specify,2019-12-06,6,3,3,6,19,19,140,4,97.17492942583787,88.0,95.6869279861945
2,long_iti,grating,59,2,2,0.8015198707580566,,Prefer not to specify,2019-12-06,6,3,3,6,20,20,141,4,80.32951389083522,88.0,95.6869279861945
2,long_iti,grating,44,2,1,1.5831120014190674,,Prefer not to specify,2019-12-06,6,3,3,6,21,21,142,4,83.40202525746413,88.0,95.6869279861945
2,long_iti,grating,41,1,1,0.8994419574737549,,Prefer not to specify,2019-12-06,6,3,3,6,22,22,143,4,97.20604216252309,88.0,95.6869279861945
2,long_iti,grating,47,2,2,1.3061809539794922,,Prefer not to specify,2019-12-06,6,3,3,6,23,23,144,4,82.60822824021848,88.0,95.6869279861945
2,long_iti,grating,42,1,1,1.368257999420166,,Prefer not to specify,2019-12-06,6,3,3,6,24,24,145,4,96.97969838560253,88.0,95.6869279861945
2,long_iti,grating,38,1,1,1.1251089572906494,,Prefer not to specify,2019-12-06,6,3,3,6,25,25,146,4,97.27858545884332,88.0,95.6869279861945
2,long_iti,grating,61,1,1,1.1444370746612549,,Prefer not to specify,2019-12-06,6,3,3,6,26,26,147,4,96.97953865628833,88.0,95.6869279861945
2,long_iti,binary,23,1,2,2.0947980880737305,,Prefer not to specify,2019-12-06,7,3,3,7,0,0,148,6,-1,-1,95.6869279861945
2,long_iti,binary,39,1,1,1.0838580131530762,,Prefer not to specify,2019-12-06,7,3,3,7,1,1,149,6,-1,-1,95.6869279861945
2,long_iti,binary,31,1,2,0.5643930435180664,,Prefer not to specify,2019-12-06,7,3,3,7,2,2,150,6,-1,-1,95.6869279861945
2,long_iti,binary,25,1,2,0.7814991474151611,,Prefer not to specify,2019-12-06,7,3,3,7,3,3,151,6,-1,-1,95.6869279861945
2,long_iti,binary,43,1,2,1.5780441761016846,,Prefer not to specify,2019-12-06,7,3,3,7,4,4,152,6,-1,-1,95.6869279861945
2,long_iti,binary,56,2,2,3.122251033782959,,Prefer not to specify,2019-12-06,7,3,3,7,5,5,153,6,-1,-1,95.6869279861945
2,long_iti,binary,41,1,2,0.6463420391082764,,Prefer not to specify,2019-12-06,7,3,3,7,6,6,154,6,-1,-1,95.6869279861945
2,long_iti,binary,12,2,2,0.4081239700317383,,Prefer not to specify,2019-12-06,7,3,3,7,7,7,155,6,-1,-1,95.6869279861945
2,long_iti,binary,2,2,2,1.0002870559692383,,Prefer not to specify,2019-12-06,7,3,3,7,8,8,156,6,-1,-1,95.6869279861945
2,long_iti,binary,9,1,1,0.5776889324188232,,Prefer not to specify,2019-12-06,7,3,3,7,9,9,157,6,-1,-1,95.6869279861945
2,long_iti,binary,37,1,1,1.5573091506958008,,Prefer not to specify,2019-12-06,7,3,3,7,10,10,158,6,-1,-1,95.6869279861945
2,long_iti,binary,20,2,2,0.47705507278442383,,Prefer not to specify,2019-12-06,7,3,3,7,11,11,159,6,-1,-1,95.6869279861945
2,long_iti,binary,54,2,2,0.6985371112823486,,Prefer not to specify,2019-12-06,7,3,3,7,12,12,160,6,-1,-1,95.6869279861945
2,long_iti,binary,34,2,2,0.8142759799957275,,Prefer not to specify,2019-12-06,7,3,3,7,13,13,161,6,-1,-1,95.6869279861945
2,long_iti,binary,48,2,2,0.7634260654449463,,Prefer not to specify,2019-12-06,7,3,3,7,14,14,162,6,-1,-1,95.6869279861945
2,long_iti,grating,49,2,1,1.4042389392852783,,Prefer not to specify,2019-12-06,8,4,4,8,0,0,163,6,46.40170865641745,40.0,43.4501246876132
2,long_iti,grating,46,1,1,0.543921947479248,,Prefer not to specify,2019-12-06,8,4,4,8,1,1,164,6,41.444318002702296,40.0,43.4501246876132
2,long_iti,grating,55,2,1,0.6745178699493408,,Prefer not to specify,2019-12-06,8,4,4,8,2,2,165,6,47.87071082523527,40.0,43.4501246876132
2,long_iti,grating,37,1,1,0.9838440418243408,,Prefer not to specify,2019-12-06,8,4,4,8,3,3,166,6,35.86253863360019,40.0,43.4501246876132
2,long_iti,grating,36,1,1,0.9798181056976318,,Prefer not to specify,2019-12-06,8,4,4,8,4,4,167,6,33.29590002143601,40.0,43.4501246876132
2,long_iti,grating,7,2,2,0.9298529624938965,,Prefer not to specify,2019-12-06,8,4,4,8,5,5,168,6,45.76337138009096,40.0,43.4501246876132
2,long_iti,grating,32,2,2,1.1091198921203613,,Prefer not to specify,2019-12-06,8,4,4,8,6,6,169,6,47.16213730337412,40.0,43.4501246876132
2,long_iti,grating,41,1,1,0.8800389766693115,,Prefer not to specify,2019-12-06,8,4,4,8,7,7,170,6,40.56748801486448,40.0,43.4501246876132
2,long_iti,grating,42,2,1,0.7350339889526367,,Prefer not to specify,2019-12-06,8,4,4,8,8,8,171,6,46.39140028903819,40.0,43.4501246876132
2,long_iti,grating,11,2,2,0.9580848217010498,,Prefer not to specify,2019-12-06,8,4,4,8,9,9,172,6,45.94345538003438,40.0,43.4501246876132
2,long_iti,grating,54,2,2,0.8626289367675781,,Prefer not to specify,2019-12-06,8,4,4,8,10,10,173,6,46.29957334927387,40.0,43.4501246876132
2,long_iti,grating,40,1,1,0.809535026550293,,Prefer not to specify,2019-12-06,8,4,4,8,11,11,174,6,38.8936835676979,40.0,43.4501246876132
2,long_iti,grating,39,2,2,0.9019639492034912,,Prefer not to specify,2019-12-06,8,4,4,8,12,12,175,6,46.678537555003494,40.0,43.4501246876132
2,long_iti,binary,6,1,2,1.8639888763427734,,Prefer not to specify,2019-12-06,9,4,4,9,0,0,176,5,-1,-1,43.4501246876132
2,long_iti,binary,34,1,1,2.065636157989502,,Prefer not to specify,2019-12-06,9,4,4,9,1,1,177,5,-1,-1,43.4501246876132
2,long_iti,binary,37,2,1,0.7948791980743408,,Prefer not to specify,2019-12-06,9,4,4,9,2,2,178,5,-1,-1,43.4501246876132
2,long_iti,binary,23,1,2,1.6360180377960205,,Prefer not to specify,2019-12-06,9,4,4,9,3,3,179,5,-1,-1,43.4501246876132
2,long_iti,binary,63,1,2,1.351311206817627,,Prefer not to specify,2019-12-06,9,4,4,9,4,4,180,5,-1,-1,43.4501246876132
2,long_iti,binary,20,2,2,1.455475091934204,,Prefer not to specify,2019-12-06,9,4,4,9,5,5,181,5,-1,-1,43.4501246876132
